date,open,close,high,low
2019-07-06,10970.73,11256.49,11665.0,10964.51
2019-07-07,11256.49,11406.24,11538.0,11094.37
2019-07-08,11406.24,12238.6,12338.03,11220.0
2019-07-09,12238.6,12543.41,12794.73,12068.0
2019-07-10,12543.41,12108.37,13147.08,11569.0
2019-07-11,12108.37,11342.89,12111.73,11000.0
2019-07-12,11342.89,11757.22,11885.0,11073.0
2019-07-13,11757.22,11355.76,11799.98,10830.0
2019-07-14,11355.76,10174.18,11452.0,10103.0
2019-07-15,10174.18,10838.72,11100.0,9860.0
2019-07-16,10838.72,9439.59,11028.0,9350.01
2019-07-17,9439.59,9667.92,9957.0,9060.0
2019-07-18,9667.92,10627.16,10788.0,9252.0
2019-07-19,10627.16,10504.29,10769.71,10121.84
2019-07-20,10504.29,10740.23,11068.99,10350.0
2019-07-21,10740.23,10589.45,10817.9,10288.0
2019-07-22,10589.45,10340.31,10683.16,10100.0
2019-07-23,10340.31,9864.91,10343.97,9822.0
2019-07-24,9864.91,9763.28,9937.0,9525.0
2019-07-25,9763.28,9879.87,10175.0,9720.03
2019-07-26,9879.87,9824.0,9889.98,9637.0
2019-07-27,9824.0,9476.52,10188.66,9333.0
2019-07-28,9476.52,9541.54,9594.99,9165.0
2019-07-29,9541.54,9507.64,9729.0,9395.0
2019-07-30,9507.64,9574.21,9714.28,9402.0
2019-07-31,9574.21,10080.53,10109.8,9555.0
2019-08-01,10080.53,10374.99,10467.86,9863.46
2019-08-02,10374.99,10523.75,10670.0,10281.35
2019-08-03,10523.75,10816.86,10904.77,10497.93
2019-08-04,10816.86,10929.23,11040.0,10552.0
2019-08-05,10929.23,11828.8,11937.52,10927.8
2019-08-06,11828.8,11481.69,12330.7,11226.7
2019-08-07,11481.69,11975.03,12141.17,11382.84
2019-08-08,11975.03,11999.77,12060.0,11521.0
2019-08-09,11999.77,11879.99,12045.68,11700.0
2019-08-10,11879.99,11309.31,11985.0,11270.0
2019-08-11,11309.31,11549.97,11599.98,11112.11
2019-08-12,11549.97,11396.08,11577.89,11235.32
2019-08-13,11396.08,10892.71,11456.16,10788.45
2019-08-14,10892.71,10050.37,10897.48,9928.1
2019-08-15,10050.37,10293.93,10460.0,9911.0
2019-08-16,10293.93,10331.54,10536.03,9750.0
2019-08-17,10331.54,10216.02,10465.14,10000.0
2019-08-18,10216.02,10306.78,10500.0,10080.0
2019-08-19,10306.78,10915.54,10930.0,10258.6
2019-08-20,10915.54,10760.51,10949.96,10560.0
2019-08-21,10760.51,10142.57,10804.13,9858.0
2019-08-22,10142.57,10099.88,10242.0,9762.0
2019-08-23,10099.88,10389.55,10445.0,10019.79
2019-08-24,10389.55,10134.35,10419.42,9890.0
2019-08-25,10134.35,10142.69,10333.0,9906.97
2019-08-26,10142.69,10372.25,10604.0,10137.93
2019-08-27,10372.25,10185.05,10391.08,10051.08
2019-08-28,10185.05,9721.0,10299.0,9601.01
2019-08-29,9721.0,9498.44,9724.0,9320.0
2019-08-30,9498.44,9584.54,9696.0,9350.41
2019-08-31,9584.54,9587.47,9684.51,9420.75
2019-09-01,9587.47,9724.98,9830.0,9520.0
2019-09-02,9724.98,10340.0,10450.0,9712.5
2019-09-03,10340.0,10615.28,10773.0,10272.0
2019-09-04,10615.28,10567.02,10799.0,10369.89
2019-09-05,10567.02,10564.49,10900.0,10450.0
2019-09-06,10564.49,10298.73,10905.87,10150.0
2019-09-07,10298.73,10455.88,10558.0,10288.57
2019-09-08,10455.88,10381.18,10592.5,10208.0
2019-09-09,10381.18,10303.12,10480.0,10068.5
2019-09-10,10303.12,10098.15,10384.99,9953.0
2019-09-11,10098.15,10158.33,10293.0,9880.0
2019-09-12,10158.33,10415.01,10448.81,10040.1
2019-09-13,10415.01,10342.06,10439.0,10153.0
2019-09-14,10342.06,10335.02,10419.99,10222.33
2019-09-15,10335.02,10302.01,10360.0,10252.15
2019-09-16,10302.01,10251.31,10355.0,10078.0
2019-09-17,10251.31,10187.82,10275.0,10128.01
2019-09-18,10187.82,10156.99,10258.02,10100.0
2019-09-19,10156.99,10244.29,10325.0,9653.0
2019-09-20,10244.29,10168.59,10281.0,10061.39
2019-09-21,10168.59,9986.39,10176.7,9900.0
2019-09-22,9986.39,10028.87,10089.0,9853.97
2019-09-23,10028.87,9702.25,10049.99,9615.77
2019-09-24,9702.25,8493.14,9794.99,8290.51
2019-09-25,8493.14,8430.05,8730.0,8215.64
2019-09-26,8430.05,8063.73,8465.99,7750.0
2019-09-27,8063.73,8177.91,8265.0,7852.15
2019-09-28,8177.91,8198.81,8315.0,8001.09
2019-09-29,8198.81,8043.82,8229.13,7890.0
2019-09-30,8043.82,8289.34,8337.26,7710.0
2019-10-01,8289.34,8292.44,8500.0,8173.05
2019-10-02,8292.44,8359.94,8373.91,8151.22
2019-10-03,8359.94,8223.96,8393.0,8060.0
2019-10-04,8223.96,8137.13,8232.41,8005.0
2019-10-05,8137.13,8126.19,8183.41,8012.98
2019-10-06,8126.19,7854.25,8153.87,7785.0
2019-10-07,7854.25,8190.09,8299.92,7762.0
2019-10-08,8190.09,8168.39,8325.0,8088.75
2019-10-09,8168.39,8560.74,8670.0,8115.0
2019-10-10,8560.74,8558.03,8644.0,8414.52
2019-10-11,8558.03,8258.5,8779.51,8212.38
2019-10-12,8258.5,8300.09,8400.0,8250.0
2019-10-13,8300.09,8275.01,8451.37,8160.0
2019-10-14,8275.01,8348.2,8388.85,8203.0
2019-10-15,8348.2,8159.29,8403.0,8090.0
2019-10-16,8159.29,7991.74,8181.16,7917.0
2019-10-17,7991.74,8070.58,8124.92,7929.03
2019-10-18,8070.58,7947.01,8115.0,7816.01
2019-10-19,7947.01,7948.01,8098.1,7866.92
2019-10-20,7948.01,8223.35,8297.0,7870.0
2019-10-21,8223.35,8197.27,8333.0,8142.03
2019-10-22,8197.27,8020.0,8297.99,8000.0
