lookback,future,pos,val,temp,mse_Auto,mae_Auto,rmse_Auto,mape_Auto,mspe_Auto,rse_Auto,R2_Auto,mse_Inf,mae_Inf,rmse_Inf,mape_Inf,mspe_Inf,rse_Inf,R2_Inf,mse_Tra,mae_Tra,rmse_Tra,mape_Tra,mspe,rse,R2_Tra,mse_LSTM,mae_LSTM,rmse_LSTM,mape_LSTM,R2_LSTM,data_type
96,720,False,False,False,0.18703562,0.34249792,0.43247616,0.14918464,0.03698887,1.17861998,-0.86735602,0.68903774,0.72983009,0.83008295,0.32576755,0.14532912,2.26221108,-6.00250711,0.21449359,0.39064088,0.46313453,0.17491594,0.04658159,1.26217282,-1.11219759,0.78819093,0.82719859,0.88780117,0.37858011,-4.90231882,original
120,1,False,False,False,0.00962279,0.07174505,0.09809581,0.03052455,0.00179852,0.22014856,0.95153461,0.0087447,0.06748227,0.09351309,0.02855935,0.00157559,0.20986393,0.95595713,0.00165089,0.03093356,0.04063116,0.01241837,0.00025069,0.09118525,0.99168525,0.16402679,0.35800727,0.4050022,0.16042564,0.1737797,original
120,12,False,False,False,0.01415162,0.08658351,0.1189606,0.03667264,0.00257808,0.26808739,0.92803339,0.01347282,0.08907404,0.11607249,0.03733613,0.00235866,0.2615788,0.93153693,0.0061914,0.05806191,0.07868546,0.02439427,0.00110885,0.17732407,0.96848959,0.02425327,0.13031294,0.1557346,0.0594855,0.87683726,original
120,24,False,False,False,0.01890316,0.10203534,0.13748875,0.04325245,0.00346964,0.31138223,0.90263616,0.01808966,0.10202717,0.13449781,0.04282534,0.0031789,0.3046084,0.90696518,0.01226686,0.08333369,0.11075585,0.0352152,0.00222298,0.25083801,0.93680763,0.4381433,0.60200577,0.66192394,0.2748855,-1.24663998,original
120,96,False,False,False,0.04599698,0.16164196,0.21446906,0.06930292,0.0087362,0.49782595,0.74699654,0.04256522,0.16256946,0.20631342,0.06932162,0.00777982,0.47889504,0.76739874,0.04629844,0.16507122,0.21517073,0.07084582,0.00890788,0.49945462,0.74564347,0.64724483,0.73896376,0.80451528,0.33812395,-2.49636155,original
120,192,False,False,False,0.06625294,0.19965482,0.25739646,0.08559708,0.01249185,0.61763048,0.60121469,0.1650327,0.31880441,0.40624216,0.13546453,0.03037575,0.97479022,0.00897746,0.10468207,0.25593483,0.32354608,0.11155829,0.02106577,0.77635849,0.36716533,0.71486429,0.77804694,0.84549647,0.35612121,-3.13250436,original
120,336,False,False,False,0.10428865,0.25918815,0.32293752,0.11159113,0.01967397,0.81348252,0.26347439,0.29752138,0.45040193,0.54545522,0.19811971,0.06039712,1.37400651,-1.08982724,0.20093207,0.37586734,0.44825447,0.16620865,0.04110602,1.12915695,-0.40670042,0.81790846,0.83934004,0.90438291,0.38376555,-4.20195802,original
120,720,False,False,False,0.19320413,0.34764659,0.43954992,0.15133955,0.03799448,1.22120392,-0.97814651,0.52866191,0.63651669,0.72709143,0.28586203,0.11352039,2.02008224,-4.41347783,0.44381446,0.58092958,0.66619402,0.26306921,0.09804432,1.85089052,-3.58390584,0.34324384,0.50705778,0.58587016,0.23560672,-1.66040353,original
144,1,False,False,False,0.01142803,0.08125576,0.10690198,0.03452633,0.00213676,0.24471304,0.94011552,0.00990381,0.07199067,0.09951788,0.03034438,0.0017483,0.22780985,0.94810267,0.00143042,0.02880404,0.0378209,0.01177079,0.00022794,0.08657713,0.9925044,0.16809693,0.36425806,0.40999626,0.16429163,0.11915249,original
144,12,False,False,False,0.02116571,0.10371543,0.1454844,0.04453366,0.00410253,0.33458927,0.88777962,0.01434083,0.09125596,0.11975321,0.03828077,0.00248479,0.27541193,0.92408396,0.00609337,0.05752933,0.07806002,0.0241964,0.0010893,0.17952472,0.96769776,0.00754933,0.06544822,0.08688688,0.02753638,0.96006457,original
