model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse
Transformer,168,24,FALSE,FALSE,FALSE,0.01449028,0.45402713,0.09405768,0.6139632,0.12037557,0.67381535,0.04020467,0.28140064,0.92010092,-1.4960704,0.00268731,0.28224123
Transformer,168,96,FALSE,FALSE,FALSE,0.04181513,0.68176205,0.15768951,0.76046587,0.20448747,0.82568884,0.06843551,0.34864001,0.75195585,-2.96175577,0.00830738,0.4928166
Transformer,168,192,FALSE,FALSE,FALSE,0.10982788,0.78928675,0.27264979,0.82111854,0.3314029,0.88841812,0.11954539,0.37628154,0.28833446,-3.920361,0.02210691,0.82700908
Transformer,168,336,FALSE,FALSE,FALSE,0.23454711,0.82629476,0.41449884,0.84805107,0.48430064,0.90900757,0.18352377,0.3880013,-0.76475693,-4.69983443,0.048054,1.26714778
Transformer,168,720,FALSE,FALSE,FALSE,0.55173308,0.39224391,0.65926284,0.54838896,0.74278736,0.62629379,0.29438311,0.25559472,-4.86778314,-2.24928211,0.11692693,2.12429643
Transformer,192,1,FALSE,FALSE,FALSE,0.00097696,0.19239208,0.02310758,0.39297918,0.03125643,0.43862521,0.0099304,0.1789271,0.99453945,-0.07533837,0.0001856,0.07389555
Transformer,192,12,FALSE,FALSE,FALSE,0.00655927,0.02204759,0.06105045,0.1234672,0.0809893,0.14848432,0.02579433,0.05664358,0.96296679,0.87571363,0.00117351,0.19224423
Transformer,192,24,FALSE,FALSE,FALSE,0.01035654,0.43718904,0.07401601,0.60063319,0.10176707,0.66120272,0.03149904,0.27577488,0.94075548,-1.48748666,0.00189025,0.2427434
Transformer,192,96,FALSE,FALSE,FALSE,0.04157819,0.69605102,0.15556709,0.76966667,0.20390731,0.83429672,0.06593203,0.35317187,0.74331645,-3.2011784,0.00762056,0.50095177
Transformer,192,192,FALSE,FALSE,FALSE,0.09107479,0.76661261,0.24405694,0.81110218,0.30178601,0.87556417,0.10690905,0.37189983,0.38575487,-3.96604148,0.01820264,0.7680831
Transformer,192,336,FALSE,FALSE,FALSE,0.24577396,0.77542478,0.4272446,0.82114074,0.49575594,0.88058207,0.18824013,0.37617216,-0.98260538,-4.58797007,0.04950332,1.32762361
Transformer,192,720,FALSE,FALSE,FALSE,0.35619181,0.4618486,0.51501006,0.60363904,0.59681809,0.67959444,0.23172894,0.28112891,-2.85286693,-2.95233955,0.07693881,1.73863328
Transformer,336,1,FALSE,FALSE,FALSE,0.00284966,0.1654295,0.04242758,0.35959277,0.05338224,0.40673025,0.01732852,0.16662289,0.97968408,-0.17868986,0.00044893,0.14253393
Transformer,336,12,FALSE,FALSE,FALSE,0.00555225,0.00660671,0.05412979,0.06203812,0.07451341,0.08128167,0.02313881,0.02742824,0.95991097,0.95241399,0.00101548,0.20000646
Transformer,336,24,FALSE,FALSE,FALSE,0.0117435,0.4596226,0.08135042,0.61793973,0.10836741,0.67795472,0.0353076,0.28631817,0.91446054,-2.33592996,0.00224683,0.29196486
Transformer,336,96,FALSE,FALSE,FALSE,0.04281736,0.63697099,0.15687406,0.7402593,0.20692356,0.79810462,0.06874055,0.34134015,0.66770288,-3.84739624,0.00860349,0.57050061
Transformer,336,192,FALSE,FALSE,FALSE,0.1581893,0.84831467,0.33462831,0.86648466,0.39773017,0.92104,0.14808325,0.39784694,-0.40230006,-6.10379946,0.03221979,1.14970803
Transformer,336,336,FALSE,FALSE,FALSE,0.3866466,0.79667032,0.53438175,0.84387432,0.62180912,0.8925639,0.24174382,0.38738457,-2.99110389,-6.37711648,0.08400289,1.89208663
Transformer,336,720,FALSE,FALSE,FALSE,0.49782991,0.99139495,0.63575125,0.94448763,0.70557064,0.99568818,0.29047257,0.43535593,-5.02245374,-9.15605564,0.11100414,2.25809956
Transformer,504,1,FALSE,FALSE,FALSE,0.00164681,0.00138747,0.03078065,0.02823181,0.04058088,0.03724876,0.0128813,0.01247734,0.98331606,0.98598535,0.00027355,0.12916631
Transformer,504,12,FALSE,FALSE,FALSE,0.00669477,0.03265818,0.06119281,0.14981897,0.08182158,0.18071573,0.02659723,0.07144356,0.93078401,0.66481375,0.00126132,0.26251581
Transformer,504,24,FALSE,FALSE,FALSE,0.01858535,0.48327413,0.10794116,0.63731573,0.1363281,0.69517921,0.04739952,0.29768869,0.8040009,-4.04268979,0.00360145,0.44100252
Transformer,504,96,FALSE,FALSE,FALSE,0.0718601,0.66039605,0.21463081,0.76200596,0.26806733,0.81264756,0.09687684,0.35323572,0.21779315,-6.13834404,0.0155261,0.88090152
Transformer,504,192,FALSE,FALSE,FALSE,0.16188341,0.8408512,0.34427655,0.87081415,0.40234739,0.91697939,0.15655363,0.40197091,-0.82536507,-8.3799814,0.03552224,1.34140205
Transformer,6,1,FALSE,FALSE,TRUE,0.00220066,0.00821274,0.03365042,0.07146617,0.0469112,0.09062414,0.01288617,0.0295617,0.99132689,0.96756802,0.00028828,0.09312952
Transformer,6,12,FALSE,FALSE,TRUE,0.00652406,0.01330631,0.05905281,0.0866018,0.08077165,0.11535299,0.02425504,0.03528769,0.97395242,0.94691665,0.00110813,0.16120988
