model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse,data_type
Informer,24,192,True,False,False,0.10791957,0.79426294,0.25544405,0.81863647,0.32851115,0.89121431,0.11047109,0.37292537,0.4375283,-2.89382124,0.02138496,0.72588503,original
Informer,24,336,True,False,False,0.34348008,0.79271238,0.50121182,0.82046635,0.58607173,0.89034397,0.21960624,0.37410929,-1.06250157,-3.29016949,0.07019508,1.36189222,original
Informer,24,720,True,False,False,0.26882085,1.02724364,0.42155153,0.95063233,0.51847935,1.01353028,0.18826835,0.433397,-1.62975197,-5.86844729,0.05776879,1.33797014,original
Informer,48,1,True,False,False,0.00351175,0.18413771,0.04318757,0.3790108,0.05926004,0.42911271,0.01748512,0.16730661,0.98494039,0.20987395,0.00054699,0.1227176,original
Informer,48,12,True,False,False,0.01183082,0.00956998,0.08424855,0.07130326,0.1087696,0.09782626,0.03452754,0.02889363,0.94854226,0.95841928,0.00196044,0.22665964,original
Informer,48,24,True,False,False,0.01305819,0.3929334,0.0832535,0.57353869,0.11427245,0.626844,0.03478427,0.25949348,0.94219073,-0.7303256,0.002283,0.23974763,original
Informer,48,96,True,False,False,0.04215171,0.61886154,0.15342794,0.72161694,0.20530881,0.78667753,0.0653621,0.32856813,0.7931547,-1.94936142,0.00798499,0.44785118,original
Informer,48,192,True,False,False,0.1468499,0.74399344,0.29829404,0.79285466,0.38321,0.86255055,0.12872958,0.36162912,0.20221255,-2.81522522,0.02881919,0.86675042,original
Informer,48,336,True,False,False,0.21084884,0.78214833,0.37290722,0.81753233,0.4591828,0.8843915,0.16462451,0.37279829,-0.32399193,-3.41761814,0.04374396,1.09123015,original
Informer,48,720,True,False,False,0.58549869,1.14633696,0.66356194,1.01093743,0.76517886,1.07067126,0.29763338,0.46018062,-4.74351637,-6.97304206,0.1257146,2.01782942,original
Informer,72,1,True,False,False,0.00899901,0.1910074,0.06934251,0.38929649,0.09486313,0.43704394,0.02904223,0.17340988,0.95919257,0.13319368,0.0015891,0.2020085,original
Informer,72,12,True,False,False,0.00966043,0.00783921,0.07229291,0.06665373,0.09828749,0.08853929,0.0301715,0.02796367,0.955418,0.96387869,0.00168012,0.21093766,original
Informer,72,24,True,False,False,0.01278059,0.45748052,0.08373206,0.61706175,0.11305128,0.67637306,0.03507981,0.28035841,0.93976235,-1.14182649,0.00224209,0.24461041,original
Informer,72,96,True,False,False,0.03621745,0.67961479,0.14255883,0.75693319,0.19030884,0.82438753,0.06027313,0.34549568,0.81451109,-2.40066438,0.00654682,0.42558384,original
Informer,72,192,True,False,False,0.13674247,0.76056086,0.29432827,0.8023808,0.36978707,0.87210141,0.12591137,0.36637843,0.23630434,-3.07263299,0.02580286,0.85524619,original
Informer,72,336,True,False,False,0.28813252,0.69503172,0.44394708,0.7679693,0.53677976,0.83368562,0.19204837,0.3505437,-0.84725474,-3.0897492,0.05601981,1.29735959,original
Informer,72,720,True,False,False,0.40750679,1.14077406,0.53201658,1.00871574,0.63836259,1.06807025,0.23882413,0.45961675,-3.12909846,-7.24144478,0.08787923,1.7050693,original
Informer,96,1,True,False,False,0.00867806,0.20125283,0.06686345,0.4031057,0.09315611,0.44861211,0.02806642,0.18117948,0.95803022,0.02667938,0.0015267,0.20486526,original
Informer,96,12,True,False,False,0.01260063,0.01904821,0.08554191,0.11495414,0.11225251,0.13801525,0.03596017,0.05176993,0.93842099,0.90697179,0.00222481,0.24797535,original
Informer,96,24,True,False,False,0.0156619,0.45328253,0.09349999,0.61332351,0.12514749,0.6732626,0.03916436,0.27950292,0.92250391,-1.23562587,0.00274758,0.27788919,original
Informer,96,96,True,False,False,0.04094832,0.64075285,0.15508538,0.7344479,0.20235692,0.8004704,0.06573077,0.33565198,0.78296418,-2.33922846,0.00740736,0.46194816,original
Informer,96,192,True,False,False,0.13424377,0.68390611,0.29503214,0.76020619,0.36639291,0.82698616,0.12713949,0.34759778,0.21902885,-2.80942644,0.02602413,0.86470985,original
Informer,96,336,True,False,False,0.33173743,0.77173339,0.49842992,0.81172538,0.57596654,0.87848358,0.22306649,0.3712093,-1.20622052,-3.7218831,0.07141407,1.42137146,original
Informer,96,720,True,False,False,0.4431214,0.78819093,0.56565797,0.82719859,0.66567367,0.88780117,0.25298169,0.37858011,-3.50242813,-4.90231882,0.09403619,1.81414926,original
Informer,120,1,True,False,False,0.00947376,0.16402679,0.07130987,0.35800727,0.09733326,0.4050022,0.03028495,0.16042564,0.95228517,0.1737797,0.00172817,0.21843722,original
Informer,120,12,True,False,False,0.01282547,0.02425327,0.08696341,0.13031294,0.11324961,0.1557346,0.03634878,0.0594855,0.93481613,0.87683726,0.00220805,0.25521719,original
Informer,120,24,True,False,False,0.01755462,0.4381433,0.0992274,0.60200577,0.13249385,0.66192394,0.04165092,0.2748855,0.90965955,-1.24663998,0.00308075,0.30006987,original
Informer,120,96,True,False,False,0.04260052,0.64724483,0.16199374,0.73896376,0.20639895,0.80451528,0.06904937,0.33812395,0.76724231,-2.49636155,0.0077798,0.47909358,original
Informer,120,192,True,False,False,0.16661592,0.71486429,0.32093942,0.77804694,0.40818614,0.84549647,0.13625602,0.35612121,0.00034288,-3.13250436,0.03055717,0.97945482,original
Informer,120,336,True,False,False,0.30044943,0.81790846,0.45294785,0.83934004,0.54813266,0.90438291,0.19934212,0.38376555,-1.11335321,-4.20195802,0.06110623,1.38075101,original
Informer,120,720,True,False,False,0.52853805,0.34324384,0.63650244,0.50705778,0.7270062,0.58587016,0.28585482,0.23560672,-4.41166031,-1.66040353,0.11349304,2.01984549,original
Informer,144,1,True,False,False,0.01053728,0.16809693,0.07605849,0.36425806,0.10265125,0.40999626,0.03204438,0.16429163,0.9447832,0.11915249,0.00185683,0.23498255,original
Informer,144,12,True,False,False,0.014538,0.00754933,0.0905918,0.06544822,0.12057365,0.08688688,0.03787048,0.02753638,0.92305686,0.96006457,0.00251007,0.27729881,original
Informer,144,24,True,False,False,0.02131025,0.44835895,0.1102522,0.60954854,0.1459803,0.66959611,0.04651793,0.27897443,0.88609405,-1.39281339,0.00378558,0.33721152,original
Informer,144,96,True,False,False,0.04879733,0.67000567,0.17310341,0.75298008,0.22090118,0.81853874,0.07323004,0.34489985,0.72324141,-2.7538419,0.00870465,0.52251202,original
Informer,144,192,True,False,False,0.13976187,0.74405047,0.31465182,0.79565024,0.3738474,0.8625836,0.13799125,0.36438602,0.1530021,-3.4652783,0.02840622,0.91476434,original
Informer,144,336,True,False,False,0.3543593,0.76272655,0.52445817,0.810145,0.59528089,0.87334217,0.23362392,0.37090644,-1.5378753,-4.0486796,0.07442736,1.53146458,original
Informer,144,720,True,False,False,0.57046753,1.11357318,0.65222788,0.99504875,0.75529301,1.05525977,0.29353294,0.45485641,-5.12496508,-7.92708875,0.12273519,2.1383357,original
Informer,168,1,True,False,False,0.01065579,0.17798959,0.07634975,0.3764682,0.10322687,0.42188813,0.03230563,0.17070985,0.94217546,0.03354776,0.0019047,0.24046735,original
Informer,168,12,True,False,False,0.01964393,0.01021086,0.10710038,0.08127212,0.14015681,0.10104879,0.04562003,0.03552979,0.89281025,0.94425626,0.00362658,0.3274202,original
Informer,168,24,True,False,False,0.02368467,0.45402713,0.11677863,0.6139632,0.15389824,0.67381535,0.0497303,0.28140064,0.86960405,-1.4960704,0.0043135,0.36084089,original
Informer,168,96,True,False,False,0.05201669,0.68176205,0.17936455,0.76046587,0.22807169,0.82568884,0.07693064,0.34864001,0.69316597,-2.96175577,0.00965621,0.54965472,original
Informer,168,192,True,False,False,0.16150695,0.78928675,0.31661722,0.82111854,0.40187928,0.88841812,0.13572744,0.37628154,-0.0558052,-3.920361,0.03045792,1.00288153,original
Informer,168,336,True,False,False,0.21981052,0.82629476,0.3803986,0.84805107,0.46883956,0.90900757,0.16631506,0.3880013,-0.68027789,-4.69983443,0.04373811,1.22669446,original
Informer,168,720,True,False,False,0.66851974,0.39224391,0.73635906,0.54838896,0.81763059,0.62629379,0.33042541,0.25559472,-5.92826597,-2.24928211,0.14277248,2.33834052,original
Informer,192,1,True,False,False,0.00950031,0.19239208,0.07006314,0.39297918,0.09746955,0.43862521,0.02996274,0.1789271,0.94689984,-0.07533837,0.00174365,0.2304347,original
Informer,192,12,True,False,False,0.0166929,0.02204759,0.09719051,0.1234672,0.12920099,0.14848432,0.04098582,0.05664358,0.90594718,0.87571363,0.002959,0.30668426,original
Informer,192,24,True,False,False,0.04682602,0.43718904,0.17490906,0.60063319,0.21639322,0.66120272,0.07523827,0.27577488,0.73365906,-1.48748666,0.00889256,0.51615936,original
Informer,192,96,True,False,False,0.05349101,0.69605102,0.18004373,0.76966667,0.23128124,0.83429672,0.07716193,0.35317187,0.6718276,-3.2011784,0.00991272,0.56820297,original
Informer,192,192,True,False,False,0.1644934,0.76661261,0.3422235,0.81110218,0.40557787,0.87556417,0.15024312,0.37189983,-0.08699768,-3.96604148,0.03315874,1.03224635,original
Informer,192,336,True,False,False,0.2685886,0.77542478,0.44221151,0.82114074,0.51825535,0.88058207,0.19506153,0.37617216,-1.07908323,-4.58797007,0.05442489,1.38787651,original
Informer,192,720,True,False,False,0.53760928,0.4618486,0.63249588,0.60363904,0.73321843,0.67959444,0.28462985,0.28112891,-4.93993048,-2.95233955,0.11568257,2.13599086,original
Informer,336,1,True,False,False,0.01232191,0.1654295,0.08256339,0.35959277,0.1110041,0.40673025,0.03562777,0.16662289,0.9121542,-0.17868986,0.00229177,0.29638788,original
Informer,336,12,True,False,False,0.02094866,0.00660671,0.11052832,0.06203812,0.1447365,0.08128167,0.04755725,0.02742824,0.84906086,0.95241399,0.00388884,0.38849702,original
Informer,336,24,True,False,False,0.0321948,0.4596226,0.13909236,0.61793973,0.17942908,0.67795472,0.05966091,0.28631817,0.76606147,-2.33592996,0.00587384,0.48342007,original
Informer,336,96,True,False,False,0.0731094,0.63697099,0.21907757,0.7402593,0.2703875,0.79810462,0.09567265,0.34134015,0.43718067,-3.84739624,0.01419722,0.74547446,original
Informer,336,192,True,False,False,0.15707128,0.84831467,0.31789097,0.86648466,0.39632219,0.92104,0.13820343,0.39784694,-0.40377797,-6.10379946,0.03049853,1.14563799,original
Informer,336,336,True,False,False,0.39238885,0.79667032,0.52756035,0.84387432,0.62640947,0.8925639,0.23237209,0.38738457,-3.08373842,-6.37711648,0.07950545,1.9060849,original
Informer,336,720,True,False,False,0.77929252,0.99139495,0.75912046,0.94448763,0.88277549,0.99568818,0.34394589,0.43535593,-8.66861825,-9.15605564,0.17074993,2.82522392,original
Informer,504,1,True,False,False,0.01021857,0.00138747,0.07358855,0.02823181,0.10108694,0.03724876,0.03194815,0.01247734,0.89647489,0.98598535,0.00189592,0.32175314,original
Informer,504,12,True,False,False,0.02588115,0.03265818,0.12420703,0.14981897,0.1608762,0.18071573,0.05446355,0.07144356,0.73356935,0.66481375,0.00501833,0.51615417,original
Informer,504,24,True,False,False,0.03376005,0.48327413,0.14267503,0.63731573,0.18373908,0.69517921,0.06230298,0.29768869,0.64552525,-4.04268979,0.00639933,0.59437048,original
Informer,504,96,True,False,False,0.0687221,0.66039605,0.19635993,0.76200596,0.26214901,0.81264756,0.08729249,0.35323572,0.25401445,-6.13834404,0.01385782,0.86145324,original
Informer,504,192,True,False,False,0.23259653,0.8408512,0.40748277,0.87081415,0.48228264,0.91697939,0.18208444,0.40197091,-1.64844712,-8.3799814,0.04934562,1.60790145,original
Informer,504,336,True,False,False,0.34557813,0.72884835,0.48265859,0.80562941,0.58785892,0.85372616,0.21980688,0.3732293,-3.18783702,-7.39154204,0.07688261,1.99198759,original
Informer,504,720,True,False,False,0.79972917,1.26230485,0.82026488,1.08789415,0.89427578,1.12352341,0.377969,0.50240877,-10.36603007,-14.5136906,0.18033779,3.12825608,original
Informer,672,1,True,False,False,0.01256251,0.20609197,0.08856025,0.40961405,0.1120826,0.45397353,0.03942486,0.19377409,0.85179493,-1.43135145,0.00256321,0.38497409,original
Informer,672,12,True,False,False,0.02422707,0.02242222,0.1242719,0.12520413,0.15565047,0.14974052,0.05583151,0.05983212,0.71290035,0.73486621,0.00512897,0.53577662,original
Informer,672,24,True,False,False,0.03686494,0.51198808,0.15570728,0.66505909,0.19200245,0.71553342,0.07018893,0.3115181,0.56184158,-5.06905236,0.00782638,0.66182071,original
Informer,672,96,True,False,False,0.07928709,0.74374393,0.21612808,0.81880233,0.28157964,0.86240589,0.09833089,0.38064956,0.03479353,-7.99602207,0.01728761,0.97930288,original
Informer,672,192,True,False,False,0.3916657,0.88055931,0.55474269,0.8972857,0.62583202,0.93838122,0.25677389,0.416264,-3.89848865,-9.86225867,0.09042089,2.19800663,original
Informer,672,336,True,False,False,0.81260914,0.82466357,0.81474018,0.86624363,0.90144837,0.90810989,0.37683812,0.40288435,-9.46914226,-9.35110958,0.18605912,3.18256569,original
Informer,672,720,True,False,False,0.79817849,0.24452185,0.83510542,0.42415128,0.89340836,0.49449151,0.38958958,0.20271878,-12.20713659,-2.41268629,0.18455745,3.32315946,original
Informer,720,1,True,False,False,0.00940003,0.00231349,0.07494102,0.03879273,0.09695376,0.04809874,0.03374398,0.01803612,0.88651694,0.97211154,0.00198341,0.33687246,original
Informer,720,12,True,False,False,0.02825944,0.00575089,0.13767931,0.05824097,0.16810545,0.07583461,0.06215997,0.02678387,0.65773456,0.93041619,0.00600398,0.58499205,original
Informer,720,24,True,False,False,0.03819452,0.52678437,0.15766168,0.67770494,0.19543418,0.72579913,0.07147565,0.31758726,0.53512242,-5.40415348,0.00822345,0.68156505,original
Informer,720,96,True,False,False,0.08769172,0.77644947,0.22589627,0.83885029,0.29612789,0.8811637,0.10221543,0.39043347,-0.0924686,-8.6268003,0.01888408,1.04200959,original
Informer,720,192,True,False,False,0.2790142,0.90739084,0.47423282,0.91343496,0.52821797,0.95257065,0.22142833,0.42422912,-2.52731755,-10.43843476,0.06537181,1.87223947,original
Informer,720,336,True,False,False,0.43175152,0.87943215,0.57144433,0.89809003,0.65707803,0.93778044,0.26852578,0.41794685,-4.78868462,-10.35565468,0.10237674,2.36097813,original
Informer,720,720,True,False,False,0.84216219,0.38621078,0.84972328,0.54745964,0.91769397,0.62145859,0.39762402,0.26083239,-13.13485192,-4.58310899,0.19584304,3.48886132,original
Informer,6,1,True,False,True,0.00302108,0.00821274,0.04058144,0.07146617,0.05496434,0.09062414,0.01624257,0.0295617,0.98809351,0.96756802,0.00045923,0.10911687,original
Informer,6,12,True,False,True,0.00761212,0.01330631,0.06314792,0.0866018,0.08724746,0.11535299,0.02558552,0.03528769,0.96962452,0.94691665,0.00123377,0.17413479,original
Informer,6,24,True,False,True,0.01118847,0.10846459,0.07415783,0.29058859,0.10577556,0.32933962,0.03037971,0.12815917,0.95465293,0.56254196,0.00186882,0.21232134,original
Informer,6,96,True,False,True,0.0452863,0.54684619,0.1564084,0.68088987,0.21280578,0.7394905,0.06629287,0.30772866,0.79619797,-1.37825517,0.00859222,0.44282326,original
Informer,6,192,True,False,True,0.10545447,0.73836884,0.25481993,0.79063663,0.32473755,0.85928391,0.11051554,0.35940881,0.46784394,-2.49856825,0.02134238,0.70488167,original
Informer,6,336,True,False,True,0.24322405,0.60877303,0.41689572,0.71765504,0.4931775,0.78023909,0.18513227,0.32574397,-0.4064572,-2.18853436,0.05170388,1.12645411,original
Informer,6,720,True,False,True,0.47798523,0.79803805,0.57476896,0.83524094,0.69136477,0.89332975,0.25741842,0.37910322,-3.63731463,-4.17764338,0.10273519,1.75479889,original
Informer,12,1,True,False,True,0.00254052,0.13051149,0.0364701,0.3099002,0.05040353,0.36126374,0.01456826,0.13297003,0.98986907,0.478729,0.00039383,0.10065252,original
Informer,12,12,True,False,True,0.00921204,0.02475459,0.07189282,0.12993193,0.09597938,0.15733591,0.02920013,0.05685505,0.9628321,0.90014475,0.00150148,0.19265398,original
Informer,12,24,True,False,True,0.01323743,0.52218193,0.08285398,0.66219442,0.11505402,0.72262156,0.03411791,0.29831083,0.94575769,-1.13014352,0.00223543,0.23229091,original
Informer,12,96,True,False,True,0.03812063,0.70754391,0.14164333,0.77316769,0.19524506,0.84115629,0.06025273,0.35087037,0.82559373,-2.11824596,0.00725872,0.40908477,original
Informer,12,192,True,False,True,0.1028392,0.84005547,0.25267828,0.84182564,0.32068551,0.9165454,0.11002026,0.38323533,0.47572969,-3.02597828,0.02103318,0.70025402,original
Informer,12,336,True,False,True,0.2297627,0.59496045,0.38497677,0.70571524,0.4793357,0.77133679,0.16805601,0.31845915,-0.36413798,-2.15056404,0.04644993,1.10118282,original
Informer,12,720,True,False,True,0.38388404,1.05419558,0.51196826,0.96276798,0.61958379,1.02674027,0.22757754,0.43843761,-2.60696873,-5.90882885,0.08064125,1.58135545,original
Informer,24,1,True,False,True,0.00253483,0.18696228,0.03623318,0.3787292,0.05034713,0.43239135,0.01473411,0.16568193,0.98965609,0.23621198,0.00040617,0.10170499,original
Informer,24,12,True,False,True,0.00910347,0.03149734,0.07032133,0.14663358,0.09541211,0.17747491,0.02876746,0.06635226,0.96238832,0.86997769,0.00149466,0.19377998,original
Informer,24,24,True,False,True,0.01193318,0.53074296,0.07812018,0.66763104,0.1092391,0.72852108,0.0323781,0.30153866,0.9499243,-1.2169827,0.00204698,0.22321944,original
Informer,24,96,True,False,True,0.03965493,0.6555349,0.14585131,0.74373896,0.19913544,0.8096511,0.06209679,0.33782471,0.81405044,-1.96652888,0.00757292,0.42299324,original
Informer,24,192,True,False,True,0.10847059,0.79426294,0.25610259,0.81863647,0.32934874,0.89121431,0.11076654,0.37292537,0.43469318,-2.89382124,0.02150279,0.72773576,original
Informer,24,336,True,False,True,0.34181851,0.79271238,0.49933872,0.82046635,0.58465248,0.89034397,0.21879092,0.37410929,-1.05392196,-3.29016949,0.06985654,1.35859406,original
Informer,24,720,True,False,True,0.26735738,1.02724364,0.42030585,0.95063233,0.51706612,1.01353028,0.1877034,0.433397,-1.61618351,-5.86844729,0.05746303,1.33432317,original
Informer,48,1,True,False,True,0.00399272,0.18413771,0.04614932,0.3790108,0.06318797,0.42911271,0.0184145,0.16730661,0.98287783,0.20987395,0.00059876,0.1308517,original
Informer,48,12,True,False,True,0.01016511,0.00956998,0.07524164,0.07130326,0.10082215,0.09782626,0.03092265,0.02889363,0.95577287,0.95841928,0.00168938,0.21009837,original
Informer,48,24,True,False,True,0.01354615,0.3929334,0.08537494,0.57353869,0.11638793,0.626844,0.03568966,0.25949348,0.94004838,-0.7303256,0.00237492,0.24418597,original
Informer,48,96,True,False,True,0.04276056,0.61886154,0.15433997,0.72161694,0.20678626,0.78667753,0.06571367,0.32856813,0.79015599,-1.94936142,0.00808773,0.451074,original
Informer,48,192,True,False,True,0.14772676,0.74399344,0.2997224,0.79285466,0.38435239,0.86255055,0.12946272,0.36162912,0.19732171,-2.81522522,0.02906406,0.86933434,original
Informer,48,336,True,False,True,0.21123962,0.78214833,0.37322384,0.81753233,0.45960811,0.8843915,0.16477409,0.37279829,-0.32679473,-3.41761814,0.0438282,1.09224081,original
Informer,48,720,True,False,True,0.58210599,1.14633696,0.661066,1.01093743,0.76295871,1.07067126,0.29653776,0.46018062,-4.7127873,-6.97304206,0.12501946,2.01197457,original
Informer,72,1,True,False,True,0.00737142,0.1910074,0.06185932,0.38929649,0.08585695,0.43704394,0.02583408,0.17340988,0.96657316,0.13319368,0.00127215,0.18283008,original
Informer,72,12,True,False,True,0.0096909,0.00783921,0.07383945,0.06665373,0.09844236,0.08853929,0.03088301,0.02796367,0.95528189,0.96387869,0.00170939,0.21127005,original
Informer,72,24,True,False,True,0.01407601,0.45748052,0.08880588,0.61706175,0.11864235,0.67637306,0.03727487,0.28035841,0.93371165,-1.14182649,0.00247284,0.25670788,original
Informer,72,96,True,False,True,0.03738173,0.67961479,0.14557862,0.75693319,0.19334356,0.82438753,0.06154824,0.34549568,0.80871112,-2.40066438,0.00673555,0.43237033,original
Informer,72,192,True,False,True,0.13906267,0.76056086,0.29695603,0.8023808,0.37291107,0.87210141,0.12699355,0.36637843,0.22343623,-3.07263299,0.02619634,0.86247146,original
Informer,72,336,True,False,True,0.29023671,0.69503172,0.44583809,0.7679693,0.53873622,0.83368562,0.19292605,0.3505437,-0.86011335,-3.0897492,0.05648803,1.30208814,original
Informer,72,720,True,False,True,0.4065786,1.14077406,0.53133541,1.00871574,0.63763517,1.06807025,0.23853318,0.45961675,-3.11903837,-7.24144478,0.08770359,1.70312631,original
Informer,96,1,True,False,True,0.0088346,0.20125283,0.06983077,0.4031057,0.09399254,0.44861211,0.02950344,0.18117948,0.95727317,0.02667938,0.00160948,0.20670469,original
Informer,96,12,True,False,True,0.01258962,0.01904821,0.08519834,0.11495414,0.11220348,0.13801525,0.03593927,0.05176993,0.93845858,0.90697179,0.0022736,0.24786703,original
Informer,96,24,True,False,True,0.01532548,0.45328253,0.09203751,0.61332351,0.12379613,0.6732626,0.03853912,0.27950292,0.92421686,-1.23562587,0.00266902,0.27488852,original
Informer,96,96,True,False,True,0.03993838,0.64075285,0.15289477,0.7344479,0.1998459,0.8004704,0.06467459,0.33565198,0.7883988,-2.33922846,0.00715795,0.45621592,original
Informer,96,192,True,False,True,0.14792861,0.68390611,0.32472062,0.76020619,0.38461488,0.82698616,0.14381766,0.34759778,0.15621816,-2.80942644,0.03129404,0.90771472,original
Informer,96,336,True,False,True,0.33264446,0.77173339,0.49917018,0.81172538,0.57675338,0.87848358,0.22341546,0.3712093,-1.21222694,-3.7218831,0.07163661,1.42331338,original
Informer,96,720,True,False,True,0.4429253,0.78819093,0.56548655,0.82719859,0.66552633,0.88780117,0.25289935,0.37858011,-3.50051349,-4.90231882,0.09398842,1.81374764,original
Informer,120,1,True,False,True,0.01246575,0.16402679,0.08715707,0.35800727,0.11165012,0.4050022,0.03675644,0.16042564,0.93721598,0.1737797,0.00221916,0.25056738,original
Informer,120,12,True,False,True,0.01291494,0.02425327,0.08728896,0.13031294,0.11364393,0.1557346,0.03647143,0.0594855,0.93434437,0.87683726,0.00222249,0.25610581,original
Informer,120,24,True,False,True,0.01812795,0.4381433,0.10135966,0.60200577,0.13464007,0.66192394,0.04251165,0.2748855,0.9067605,-1.24663998,0.00316874,0.30493057,original
Informer,120,96,True,False,True,0.04345433,0.64724483,0.16423683,0.73896376,0.20845701,0.80451528,0.06996792,0.33812395,0.76259811,-2.49636155,0.00791857,0.48387077,original
Informer,120,192,True,False,True,0.1649849,0.71486429,0.31877053,0.77804694,0.40618333,0.84549647,0.13542333,0.35612121,0.00914799,-3.13250436,0.0303368,0.97464901,original
Informer,120,336,True,False,True,0.29859734,0.81790846,0.45130694,0.83934004,0.5464406,0.90438291,0.19854017,0.38376555,-1.09776507,-4.20195802,0.06065122,1.3764888,original
Informer,120,720,True,False,True,0.52835691,0.34324384,0.63623565,0.50705778,0.72688162,0.58587016,0.28574011,0.23560672,-4.41154369,-1.66040353,0.11346216,2.0194993,original
Informer,144,1,True,False,True,0.01258782,0.16809693,0.08526542,0.36425806,0.11219544,0.40999626,0.03596195,0.16429163,0.9340381,0.11915249,0.00222271,0.25683048,original
Informer,144,12,True,False,True,0.01456429,0.00754933,0.09192212,0.06544822,0.12068259,0.08688688,0.03848688,0.02753638,0.9229067,0.96006457,0.00251125,0.27754933,original
Informer,144,24,True,False,True,0.02126195,0.44835895,0.11089028,0.60954854,0.14581479,0.66959611,0.04673713,0.27897443,0.88636242,-1.39281339,0.00375524,0.33682922,original
Informer,144,96,True,False,True,0.04860735,0.67000567,0.17120233,0.75298008,0.22047076,0.81853874,0.07242382,0.34489985,0.72415311,-2.7538419,0.00870429,0.52149391,original
Informer,144,192,True,False,True,0.13862835,0.74405047,0.3133516,0.79565024,0.37232828,0.8625836,0.1374381,0.36438602,0.15991235,-3.4652783,0.02819802,0.91104722,original
Informer,144,336,True,False,True,0.35827079,0.76272655,0.52801079,0.810145,0.59855723,0.87334217,0.23518129,0.37090644,-1.56393225,-4.0486796,0.07522896,1.53989375,original
Informer,144,720,True,False,True,0.57113773,1.11357318,0.65273046,0.99504875,0.75573653,1.05525977,0.29376966,0.45485641,-5.1321659,-7.92708875,0.12289456,2.13959146,original
Informer,168,1,True,False,True,0.00810144,0.17798959,0.06546548,0.3764682,0.09000801,0.42188813,0.02788503,0.17070985,0.95603684,0.03354776,0.00146835,0.20967396,original
Informer,168,12,True,False,True,0.01984848,0.01021086,0.10701064,0.08127212,0.14088462,0.10104879,0.04549068,0.03552979,0.89165118,0.94425626,0.00364326,0.32912043,original
Informer,168,24,True,False,True,0.02358935,0.45402713,0.11644091,0.6139632,0.15358827,0.67381535,0.04952177,0.28140064,0.87009769,-1.4960704,0.00429022,0.36011407,original
Informer,168,96,True,False,True,0.05145482,0.68176205,0.17715269,0.76046587,0.22683655,0.82568884,0.07586191,0.34864001,0.69633271,-2.96175577,0.00951779,0.54667807,original
Informer,168,192,True,False,True,0.16426776,0.78928675,0.31931922,0.82111854,0.4052996,0.88841812,0.13703027,0.37628154,-0.07518089,-3.920361,0.03114659,1.01141679,original
Informer,168,336,True,False,True,0.22142901,0.82629476,0.38252166,0.84805107,0.47056243,0.90900757,0.16738993,0.3880013,-0.69185258,-4.69983443,0.04416653,1.23120236,original
Informer,168,720,True,False,True,0.66788113,0.39224391,0.73596394,0.54838896,0.81723994,0.62629379,0.33026281,0.25559472,-5.92222405,-2.24928211,0.14265624,2.33722329,original
Informer,192,1,True,False,True,0.0113811,0.19239208,0.07975449,0.39297918,0.10668225,0.43862521,0.03369542,0.1789271,0.93638753,-0.07533837,0.00203172,0.25221515,original
Informer,192,12,True,False,True,0.01672207,0.02204759,0.09708984,0.1234672,0.12931383,0.14848432,0.04104117,0.05664358,0.90576511,0.87571363,0.0029911,0.30695209,original
Informer,192,24,True,False,True,0.04798723,0.43718904,0.17763552,0.60063319,0.21905988,0.66120272,0.07650839,0.27577488,0.72705002,-1.48748666,0.00914194,0.52252012,original
Informer,192,96,True,False,True,0.05477382,0.69605102,0.18311059,0.76966667,0.23403807,0.83429672,0.07857797,0.35317187,0.66406328,-3.2011784,0.01019607,0.57497591,original
Informer,192,192,True,False,True,0.16302195,0.76661261,0.34051991,0.81110218,0.40375978,0.87556417,0.14948198,0.37189983,-0.0772078,-3.96604148,0.03285998,1.02761912,original
Informer,192,336,True,False,True,0.26891026,0.77542478,0.44238552,0.82114074,0.5185656,0.88058207,0.19514526,0.37617216,-1.0829236,-4.58797007,0.05449772,1.3887074,original
Informer,192,720,True,False,True,0.53593677,0.4618486,0.63124359,0.60363904,0.732077,0.67959444,0.28407723,0.28112891,-4.92271469,-2.95233955,0.11533838,2.13266563,original
Informer,336,1,True,False,True,0.00949941,0.1654295,0.06992695,0.35959277,0.09746491,0.40673025,0.03012163,0.16662289,0.93227649,-0.17868986,0.00175287,0.2602374,original
Informer,336,12,True,False,True,0.02078348,0.00660671,0.10931486,0.06203812,0.14416477,0.08128167,0.04700312,0.02742824,0.85026345,0.95241399,0.00385014,0.38696241,original
Informer,336,24,True,False,True,0.03216508,0.4596226,0.13913222,0.61793973,0.17934626,0.67795472,0.05961618,0.28631817,0.76628079,-2.33592996,0.00586824,0.48319697,original
Informer,336,96,True,False,True,0.07058116,0.63697099,0.21598086,0.7402593,0.26567116,0.79810462,0.09410268,0.34134015,0.45684687,-3.84739624,0.01355535,0.73247117,original
Informer,336,192,True,False,True,0.15701182,0.84831467,0.31757799,0.86648466,0.39624718,0.92104,0.13814738,0.39784694,-0.40366721,-6.10379946,0.03054401,1.14542103,original
Informer,336,336,True,False,True,0.39613381,0.79667032,0.53128356,0.84387432,0.62939161,0.8925639,0.23442452,0.38738457,-3.1238011,-6.37711648,0.08067297,1.91515911,original
