model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse,data_type
Informer,12,336,True,False,False,33.61126709,42.82127642,4.31000233,5.22296104,5.79752254,6.54379679,0.47169471,0.62249227,-1.23039085,-1.61566158,0.29290414,1.49906087,reduced
Informer,12,720,True,False,False,32.05873489,42.14101613,4.36895895,5.4095626,5.66204357,6.49161121,0.51301157,0.69100811,-1.76203555,-2.25298153,0.32472941,1.63357282,reduced
Informer,24,1,True,False,False,17.70298767,18.79779439,2.66701484,2.96074845,4.20749187,4.33564233,0.22481589,0.28094712,0.12885435,0.07498008,0.09908428,0.93335181,reduced
Informer,24,12,True,False,False,18.30887413,25.97762788,2.76594496,3.5395071,4.2788868,5.09682527,0.24895988,0.34089242,0.03991124,-0.28276844,0.11148965,0.97986197,reduced
Informer,24,24,True,False,False,23.11991692,27.10831158,3.15344334,3.72924151,4.80831766,5.20656428,0.28664735,0.38088407,-0.20830096,-0.34365271,0.14446589,1.09931481,reduced
Informer,24,96,True,False,False,34.33062363,46.52951037,4.14219952,5.41526355,5.85923386,6.82125431,0.40351653,0.63295428,-0.75354493,-1.37826624,0.23765357,1.32513142,reduced
Informer,24,192,True,False,False,37.6378746,39.74212746,4.47622061,4.87580831,6.13497162,6.30413574,0.46008927,0.55199104,-1.0435523,-1.17018575,0.28837889,1.43450785,reduced
Informer,24,336,True,False,False,35.81018066,41.3917623,4.40717554,5.13101049,5.9841609,6.433643,0.47657052,0.61242426,-1.31460985,-1.53558639,0.30895999,1.53513217,reduced
Informer,24,720,True,False,False,34.82544708,43.23743662,4.48413277,5.52114734,5.90130901,6.57551797,0.51875913,0.71002537,-1.92959589,-2.34746603,0.34201083,1.69242001,reduced
Informer,48,1,True,False,False,16.43507004,20.22092579,2.5621593,3.06116697,4.05401897,4.49676837,0.22094412,0.28674473,0.1463911,0.00075798,0.09560493,0.9239096,reduced
Informer,48,12,True,False,False,18.79406166,28.89607347,2.83623362,3.80415091,4.33521175,5.37550681,0.25457618,0.37143161,0.02782148,-0.43288171,0.1138368,0.98600417,reduced
Informer,48,24,True,False,False,23.57441139,29.08427034,3.22224498,3.89125266,4.85534859,5.39298344,0.29211912,0.3965474,-0.21427545,-0.44772654,0.14640768,1.10207224,reduced
Informer,48,96,True,False,False,31.3283062,37.60669966,3.9581027,4.68752604,5.5971694,6.13243016,0.39658916,0.51706436,-0.73887093,-0.93093043,0.2296468,1.32146072,reduced
Informer,48,192,True,False,False,34.44433212,39.5239051,4.29612017,4.87526715,5.86892939,6.28680404,0.45423418,0.55110252,-1.08226058,-1.16902899,0.28248808,1.44995987,reduced
Informer,48,336,True,False,False,38.76185989,43.04915138,4.61667681,5.27952461,6.22590256,6.56118521,0.49262577,0.6310838,-1.43681984,-1.65258717,0.32647559,1.57305074,reduced
Informer,48,720,True,False,False,33.02708435,42.91237467,4.43912268,5.51253481,5.74691963,6.55075375,0.51138455,0.70498371,-1.75125506,-2.34195164,0.32151994,1.62852943,reduced
Informer,72,1,True,False,False,17.31240463,20.1400304,2.67067814,3.09760624,4.16081762,4.48776452,0.23047274,0.29492606,0.11495039,0.00029018,0.1002478,0.9407708,reduced
Informer,72,12,True,False,False,19.62510872,27.316656,2.92230606,3.69310977,4.43002367,5.22653384,0.26064724,0.3584656,0.00035387,-0.36069459,0.11741439,0.999843,reduced
Informer,72,24,True,False,False,24.50793076,28.01195628,3.31973553,3.7870956,4.95054865,5.29263226,0.29993555,0.38124208,-0.24333816,-0.40068633,0.15109847,1.11518323,reduced
Informer,72,96,True,False,False,32.06555557,47.12671715,3.99311709,5.45393438,5.66264582,6.86489018,0.38872948,0.62779382,-0.73207786,-1.43128087,0.22485244,1.31722891,reduced
Informer,72,192,True,False,False,34.50394821,40.05382178,4.29378653,4.93344162,5.87400627,6.32880888,0.44097069,0.55679928,-1.03035875,-1.20949563,0.26851851,1.42769074,reduced
Informer,72,336,True,False,False,38.87908173,42.64392916,4.73673964,5.23906672,6.23530912,6.53023194,0.50816357,0.61837525,-1.41632309,-1.64320063,0.32611492,1.55342746,reduced
Informer,72,720,True,False,False,37.56250381,42.61228923,4.71851254,5.48086165,6.12882566,6.52780892,0.53481728,0.69364525,-2.02943652,-2.33827518,0.35488018,1.7164613,reduced
Informer,96,1,True,False,False,17.84058952,20.63223619,2.71485639,3.11823538,4.2238121,4.54227214,0.23135467,0.29184361,0.10074624,-0.02885935,0.10127956,0.94828993,reduced
Informer,96,12,True,False,False,19.67084885,27.34132565,2.93923068,3.66917578,4.43518305,5.22889335,0.2595098,0.35094364,0.00990649,-0.36818528,0.1160094,0.99504036,reduced
Informer,96,24,True,False,False,25.00175667,28.65645269,3.40570664,3.86554285,5.00017548,5.35317221,0.30853078,0.39010178,-0.25644088,-0.43958657,0.1543828,1.12095916,reduced
Informer,96,96,True,False,False,33.9636116,47.40337938,4.1585722,5.48407396,5.82783079,6.88501121,0.40828243,0.62879741,-0.79459597,-1.45737267,0.23866919,1.34055293,reduced
Informer,96,192,True,False,False,36.00024033,41.23444692,4.39937162,5.05820508,6.00002003,6.42140537,0.4490664,0.57418435,-1.05594461,-1.28676523,0.27369699,1.43653131,reduced
Informer,96,336,True,False,False,35.50990295,43.01177381,4.52456427,5.28233183,5.95901871,6.55833621,0.50676596,0.62151412,-1.44175447,-1.681904,0.32446885,1.57297373,reduced
Informer,96,720,True,False,False,30.44867325,44.92295854,4.23904896,5.68839683,5.5180316,6.70245914,0.48845375,0.72333162,-1.71014051,-2.54025604,0.30161747,1.62136793,reduced
Informer,120,1,True,False,False,18.57761765,20.63696798,2.83050179,3.13882134,4.3101759,4.54279297,0.24319841,0.29520084,0.06906622,-0.03412878,0.10657259,0.96484917,reduced
Informer,120,12,True,False,False,17.98374176,27.66947736,2.77574062,3.71019988,4.24072409,5.26017845,0.2491876,0.35480014,0.04010796,-0.39147149,0.10896853,0.97976905,reduced
Informer,120,24,True,False,False,23.53355026,28.85943391,3.30055475,3.88838934,4.85113907,5.37209772,0.30698639,0.39110718,-0.25221205,-0.45702472,0.15140302,1.11913538,reduced
Informer,120,96,True,False,False,36.54981232,47.46790162,4.37635565,5.50411395,6.04564428,6.88969532,0.42847109,0.62906335,-0.90392809,-1.47317004,0.25641754,1.38044882,reduced
Informer,120,192,True,False,False,39.4433403,43.77434734,4.6736269,5.27314519,6.28039312,6.61621851,0.47740591,0.60337177,-1.1936713,-1.44109625,0.30062634,1.4840188,reduced
Informer,120,336,True,False,False,37.0775528,43.19979929,4.62952852,5.30455039,6.08913422,6.57265542,0.50501567,0.6207642,-1.47827763,-1.70997302,0.32440957,1.5815475,reduced
Informer,144,1,True,False,False,16.58305359,20.2534404,2.63873863,3.13248545,4.07222939,4.50038225,0.23175214,0.29627039,0.12247129,-0.02016195,0.09736362,0.93676502,reduced
Informer,144,12,True,False,False,19.05245018,28.36974531,2.90231514,3.75257345,4.36491108,5.32632569,0.26036483,0.35551191,-0.00432279,-0.43413732,0.11551718,1.00217998,reduced
Informer,144,24,True,False,False,24.28091431,31.18888104,3.36772013,4.13152926,4.92756701,5.58470062,0.30954516,0.42297983,-0.27466775,-0.58273785,0.15378331,1.12914741,reduced
Informer,144,96,True,False,False,32.25037766,36.9779553,4.11070633,4.66928282,5.67894173,6.0809502,0.41563386,0.50359884,-0.82613851,-0.93672523,0.24119341,1.35450828,reduced
Informer,144,192,True,False,False,34.60678864,41.05782635,4.4088788,5.04771195,5.88275337,6.40763813,0.46388438,0.56441163,-1.1592974,-1.30290237,0.28243199,1.47040534,reduced
Informer,144,336,True,False,False,39.60996246,43.81880434,4.86551285,5.36067098,6.29364443,6.61957735,0.53517818,0.62405845,-1.56176416,-1.76566885,0.34916034,1.60976899,reduced
Informer,144,720,True,False,False,34.19766235,44.77265539,4.58089733,5.68117229,5.84787655,6.69123721,0.52147686,0.71047259,-1.90830138,-2.57061841,0.33058539,1.67714274,reduced
Informer,168,1,True,False,False,19.26337051,20.809161,2.9574306,3.17234164,4.38900566,4.56170593,0.26618773,0.29729463,-0.00382486,-0.05330587,0.11602713,1.00191069,reduced
Informer,168,12,True,False,False,19.19697571,27.74077115,2.91377282,3.71228161,4.38143539,5.26695084,0.25733569,0.34918811,0.00328468,-0.40897036,0.11356279,0.99838656,reduced
Informer,168,24,True,False,False,24.81754303,29.81359668,3.42058539,3.98055424,4.98172092,5.46018284,0.31134337,0.39788248,-0.2836042,-0.52019175,0.1544707,1.13309574,reduced
Informer,168,96,True,False,False,35.15786743,38.57460464,4.32659435,4.82364841,5.92940712,6.21084573,0.43167582,0.52406123,-0.93664388,-1.03124567,0.25717264,1.39355755,reduced
Informer,168,192,True,False,False,36.90114594,42.32697456,4.58005953,5.17655835,6.07463121,6.50591843,0.47994453,0.5817086,-1.22001439,-1.38844205,0.29653504,1.49397075,reduced
Informer,168,336,True,False,False,40.14953613,44.16592922,4.86813593,5.39766565,6.33636618,6.6457452,0.52036041,0.62566264,-1.52759815,-1.80493228,0.33832514,1.59793091,reduced
Informer,192,1,True,False,False,18.53904152,20.65980548,2.85406399,3.17987618,4.30569887,4.54530587,0.2468807,0.29865884,0.04681852,-0.0511954,0.10701116,0.97631013,reduced
Informer,192,12,True,False,False,20.00267982,28.39394811,2.9947226,3.79354327,4.47243547,5.3285972,0.2622723,0.36014958,-0.02730953,-0.45003185,0.11720424,1.01356304,reduced
Informer,192,24,True,False,False,26.08886909,29.8439423,3.55932665,4.0175957,5.10772657,5.46296095,0.32461548,0.40424312,-0.33817805,-0.53022171,0.1631096,1.15683341,reduced
Informer,192,96,True,False,False,35.9992485,48.73881335,4.39689589,5.64106048,5.99993753,6.98131888,0.43316483,0.6404665,-0.94320843,-1.5809641,0.25649861,1.39486754,reduced
